date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:36	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Mar%202023%2021:06:37%20GMT	https://wallet.appredelegation.com/support/assets/apple-touch-icon.png	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/apple-touch-icon.png	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:36	140936/140936	---M-Z	200	added ('OK')	text/css	etag:W/%2222688-Z1/PKPn783E507LAtnb5b2AaQgM%22	https://cdn.jsdelivr.net/npm/bootstrap@4.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/Apred%20Support/cdn.jsdelivr.net/npm/bootstrap@4.1.3/dist/css/bootstrap.min.css	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:37	6045/6045	---M--	200	added ('OK')	image/png	etag:%2263ed70d4-179d%22	https://wallet.appredelegation.com/support/assets/images/wclogo.png	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/wclogo.png	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:37	4008/4008	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Feb%202023%2023:55:00%20GMT	https://wallet.appredelegation.com/support/form.html	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/form.html	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:38	6633/6633	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-19e9%22	https://wallet.appredelegation.com/support/assets/images/Trust-wallet.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/Trust-wallet.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:39	9649/9649	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-25b1%22	https://wallet.appredelegation.com/support/assets/images/metamask.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/metamask.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:39	5973/5973	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-1755%22	https://wallet.appredelegation.com/support/assets/images/phantom.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/phantom.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:40	17507/17507	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-4463%22	https://wallet.appredelegation.com/support/assets/images/Coinomi.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/Coinomi.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:42	47819/47819	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2011:55:12%20GMT	https://cryptologos.cc/logos/avalanche-avax-logo.png	C:/My%20Web%20Sites/Apred%20Support/cryptologos.cc/logos/avalanche-avax-logo.png	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:43	30723/30723	---M--	200	added ('OK')	image/png	etag:%2238b8ba202256987cda85147bb25ab417%22	https://assets.website-files.com/62dbc9b6b1444851f065c74a/62dbc9b6b14448026c65c7fe_Keplr_256.png	C:/My%20Web%20Sites/Apred%20Support/assets.website-files.com/62dbc9b6b1444851f065c74a/62dbc9b6b14448026c65c7fe_Keplr_256.png	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:45	63648/63648	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2022:18:13%20GMT	https://cryptologos.cc/logos/xrp-xrp-logo.png	C:/My%20Web%20Sites/Apred%20Support/cryptologos.cc/logos/xrp-xrp-logo.png	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:45	155161/155161	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Jun%202021%2012:37:10%20GMT	https://cryptologos.cc/logos/shiba-inu-shib-logo.png	C:/My%20Web%20Sites/Apred%20Support/cryptologos.cc/logos/shiba-inu-shib-logo.png	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:46	35308/35308	---M--	200	added ('OK')	image/png	etag:162aaf57c64bd732a87c2d553a12f165	https://upload.wikimedia.org/wikipedia/commons/5/57/Binance_Logo.png	C:/My%20Web%20Sites/Apred%20Support/upload.wikimedia.org/wikipedia/commons/5/57/Binance_Logo.png	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:49	332322/332322	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2022:18:13%20GMT	https://cryptologos.cc/logos/dogecoin-doge-logo.png	C:/My%20Web%20Sites/Apred%20Support/cryptologos.cc/logos/dogecoin-doge-logo.png	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:49	156772/156772	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2015:28:11%20GMT	https://cryptologos.cc/logos/safemoon-safemoon-logo.png	C:/My%20Web%20Sites/Apred%20Support/cryptologos.cc/logos/safemoon-safemoon-logo.png	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:50	85475/85475	---M--	200	added ('OK')	image/png	etag:2403b1339cf9926d5d73ea3f9e58f9f3	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Terra-luna-luna-logo.png/1200px-Terra-luna-luna-logo.png	C:/My%20Web%20Sites/Apred%20Support/upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Terra-luna-luna-logo.png/1200px-Terra-luna-luna-logo.png	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:51	7059/7059	---M--	200	added ('OK')	image/png	etag:%221d9028fa969d813%22	https://seeklogo.com/images/C/coinbase-coin-logo-C86F46D7B8-seeklogo.com.png	C:/My%20Web%20Sites/Apred%20Support/seeklogo.com/images/C/coinbase-coin-logo-C86F46D7B8-seeklogo.com.png	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:52	7616/7616	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-1dc0%22	https://wallet.appredelegation.com/support/assets/images/Gnosis%20Safe%20Multisig.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/Gnosis%20Safe%20Multisig.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:53	6941/6941	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-1b1d%22	https://wallet.appredelegation.com/support/assets/images/HaloDefi%20Wallet.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/HaloDefi%20Wallet.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:54	4799/4799	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-12bf%22	https://wallet.appredelegation.com/support/assets/images/Argent.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/Argent.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:55	12526/12526	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-30ee%22	https://wallet.appredelegation.com/support/assets/images/Atomic.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/Atomic.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:56	11047/11047	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-2b27%22	https://wallet.appredelegation.com/support/assets/images/Rainbow.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/Rainbow.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:57	9058/9058	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-2362%22	https://wallet.appredelegation.com/support/assets/images/03Wallet.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/03Wallet.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:58	17962/17962	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-462a%22	https://wallet.appredelegation.com/support/assets/images/1inch%20Wallet.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/1inch%20Wallet.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:06:59	31255/31255	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-7a17%22	https://wallet.appredelegation.com/support/assets/images/AKTIONARIAT.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/AKTIONARIAT.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:07:00	5366/5366	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-14f6%22	https://wallet.appredelegation.com/support/assets/images/Alice.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/Alice.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:07:00	8019/8019	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-1f53%22	https://wallet.appredelegation.com/support/assets/images/AlphaWallet.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/AlphaWallet.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:07:01	10892/10892	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-2a8c%22	https://wallet.appredelegation.com/support/assets/images/crypto.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/crypto.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:07:03	13243/13243	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-33bb%22	https://wallet.appredelegation.com/support/assets/images/AT.Wallet.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/AT.Wallet.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:07:04	6772/6772	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-1a74%22	https://wallet.appredelegation.com/support/assets/images/AToken%20Wallet.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/AToken%20Wallet.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:07:05	12604/12604	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-313c%22	https://wallet.appredelegation.com/support/assets/images/Authereum.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/Authereum.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
22:07:06	13441/13441	---M--	200	added ('OK')	image/jpeg	etag:%2263ed70d4-3481%22	https://wallet.appredelegation.com/support/assets/images/Binance%20Smart%20Chain.jpg	C:/My%20Web%20Sites/Apred%20Support/wallet.appredelegation.com/support/assets/images/Binance%20Smart%20Chain.jpg	(from https://wallet.appredelegation.com/support/wallets.html)
